df_name,Age,Gender,What ethnicity/race do you identify with? (select all that apply) - Selected Choice,What ethnicity/race do you identify with? (select all that apply) - Other - Text,"What is your level of experience playing video games (any type: computer or console-based, e.g. playstation) ?",Do you play first or third-person games?,"If you game currently, how many hours per day on average? - Hours",What would you consider your current Minecraft skill level?,curve_count,avg_original_length_x,avg_last_value,Env,Removed_curves,Cluster0,Cluster1,Cluster2,Cluster3,time
2004,20,Male,Asian,,Novice,First-person,1,Novice,5,102.6,1.564,3E,0,0.428571429,0,0.142857143,0.428571429,84
2006,19,Female,Asian,,Novice,Third-person,1,Novice,4,78.5,9.2075,1E,0,0.75,0,0,0.25,27.875
2014,20,Female,Latino/Latina/Latinx,,Intermediate,Both,2,Novice,9,68.66666667,5.931111111,2E,2,0.695652174,0,0,0.304347826,29.375
2017,18,Female,Black or African American,,Novice,Both,1,Novice,4,77.75,10.4225,4E,2,0.923076923,0,0,0.076923077,22.346153846153847
2019,21,Male,Middle Eastern,,Expert,Both,3,Intermediate,10,47.7,2.223,2E,2,0.769230769,0.076923077,0,0.153846154,26.166666666666668
2020,21,Male,Asian,,Intermediate,Both,3,Novice,2,25.5,4.07,4E,1,0.666666667,0.033333333,0,0.3,21.6
2021,19,Female,Other,Egyptian and Pakistani,Novice,First-person,,Novice,3,59,3.273333333,1E,0,0.782608696,0.043478261,0,0.173913043,41
2022,22,Female,Asian,,Intermediate,Third-person,1,Novice,2,118,7.435,4E,0,0.75,0.035714286,0.035714286,0.178571429,26.517241379310345
2024,22,Female,Other,,Novice,Third-person,0,Novice,8,44.875,3.3475,1E,2,0.92,0,0.04,0.04,16.653846153846153
2025,23,Female,"Asian,White",,Novice,First-person,0,Novice,7,74,6.585714286,3E,0,0.875,0,0,0.125,21
2027,20,Female,Asian,,Novice,First-person,0,Novice,5,69,8.884,4E,1,0.888888889,0,0.037037037,0.074074074,26.892857142857142
2028,21,Female,Asian,,Novice,First-person,0,Novice,4,19.75,9.4,3E,2,0.666666667,0.074074074,0.037037037,0.222222222,26
2032,22,Female,Asian,,Novice,Third-person,0,Novice,6,57,8.426666667,4E,2,0.807692308,0,0,0.192307692,20.5
2033,22,Female,Native Hawaiian or Other Pacific Islander,,Novice,First-person,0,Novice,5,40,4.392,3E,0,0.862068966,0.034482759,0,0.103448276,27
2035,23,Female,Middle Eastern,,Novice,First-person,0,Novice,4,24,3.535,2E,3,0.689655172,0.068965517,0.034482759,0.206896552,32.3
2037,21,Female,Latino/Latina/Latinx,,Intermediate,Both,0,Expert,6,86.33333333,6.001666667,2E,1,0.857142857,0.035714286,0.035714286,0.071428571,28.344827586206897
2041,17,Male,Asian,,Expert,Both,2,Intermediate,3,102,9.32,4E,1,0.692307692,0.038461538,0.038461538,0.230769231,23.653846153846157
2042,20,Female,Asian,,Novice,Both,1,Novice,6,39.83333333,7.495,3E,1,0.942857143,0,0,0.057142857,21.457142857142856
2043,23,Female,Asian,,Novice,Neither,0,Novice,7,56.85714286,3.955714286,1E,1,0.764705882,0,0.029411765,0.205882353,25.08823529411765
2046,19,Male,Asian,,Expert,Both,4,Intermediate,12,43.25,3.360833333,1E,0,0.833333333,0.041666667,0.041666667,0.083333333,18.541666666666668
2049,18,Male,Asian,,Expert,Both,3,Expert,9,55.66666667,5.112222222,1E,3,0.777777778,0,0.037037037,0.185185185,24.5
2051,27,Female,White,,Novice,Third-person,0,Novice,6,68,2.773333333,2E,0,0.76,0.12,0,0.12,33.68
2052,20,Male,White,,Expert,Both,6,Expert,6,51,3.88,3E,3,0.777777778,0,0.055555556,0.166666667,16.89189189189189
2055,21,Female,"Latino/Latina/Latinx,Native Hawaiian or Other Pacific Islander,White",,Expert,Both,7,Intermediate,4,31.25,3.6375,1E,0,0.916666667,0,0,0.083333333,20.666666666666668
2056,28,Male,White,,Novice,Both,0,Novice,8,55,3.0575,2E,1,0.862068966,0.034482759,0,0.103448276,36.6551724137931
2057,26,Female,Latino/Latina/Latinx,,Novice,First-person,,Novice,2,25,1,2E,0,0.677419355,0.032258065,0,0.290322581,34.74193548387097
2059,22,Male,Asian,,Intermediate,Both,2,Intermediate,5,52.6,6.756,4E,2,0.71875,0,0.0625,0.21875,20.46875
2066,18,Female,Latino/Latina/Latinx,,,,,,2,51,6.935,4E,0,0.814814815,0,0.037037037,0.148148148,24.74074074074074
2067,19,Female,Asian,,Novice,Neither,0,Novice,8,50,3.98375,3E,0,0.916666667,0.083333333,0,0,21.875
2070,20,Female,Asian,,Intermediate,First-person,2,Intermediate,6,31.66666667,8.275,4E,2,0.962962963,0,0,0.037037037,9.535714285714286
2071,21,Female,Asian,,Novice,Neither,0,Novice,4,61.75,3.9325,4E,2,0.675675676,0,0.054054054,0.27027027,26.615384615384617
2073,22,Female,Asian,,Expert,Both,1,Intermediate,4,23,2.615,4E,0,0.555555556,0.037037037,0,0.407407407,27.11111111111111
2074,21,Female,Asian,,Intermediate,Third-person,0,Novice,8,106,4.92125,3E,1,0.76,0.04,0.04,0.16,37.11538461538461
2075,17,Male,Asian,,Novice,First-person,0,Novice,5,61.2,4.392,2E,1,0.787878788,0.03030303,0.03030303,0.151515152,27.352941176470587
2077,19,Female,Asian,,Intermediate,Both,2,Intermediate,12,36.33333333,4.7175,3E,1,0.742857143,0.028571429,0,0.228571429,22.457142857142856
2079,20,Female,Asian,,Intermediate,Both,0,Novice,7,53,5.455714286,3E,1,0.866666667,0,0.033333333,0.1,21.12121212121212
2080,20,Male,White,,Intermediate,Both,0,Intermediate,12,40.5,4.000833333,4E,1,0.739130435,0.043478261,0,0.217391304,23.565217391304348
2081,20,Female,Asian,,Intermediate,Third-person,2,Novice,11,63.18181818,4.087272727,1E,1,0.903225806,0,0,0.096774194,28.64516129032258
2082,20,Female,Asian,,Novice,Neither,0,Novice,1,43,1,4E,2,0.71875,0.03125,0,0.25,31.375
2083,21,Male,White,,Intermediate,Both,3,Novice,10,61.2,4.815,4E,2,0.916666667,0,0.041666667,0.041666667,20.653846153846157
2084,27,Female,Latino/Latina/Latinx,,Intermediate,Neither,0,Novice,2,69.5,6.91,1E,0,0.611111111,0.055555556,0.055555556,0.277777778,49.11111111111112
2085,22,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,4,68.25,4.785,1E,0,0.88,0.04,0,0.08,44.19230769230769
2086,22,Female,Asian,,Novice,First-person,2,Novice,6,60.66666667,5.433333333,3E,1,0.48,0.04,0.08,0.4,45.56
2087,22,Female,Asian,,Novice,Both,1,Novice,7,39,4.885714286,3E,1,0.868421053,0,0,0.131578947,19.526315789473685
2088,23,Male,"Latino/Latina/Latinx,White",,Expert,Both,4,Expert,11,55.18181818,1.938181818,3E,0,0.8,0.05,0,0.15,29.15
2089,19,Non-binary,Asian,,Novice,Third-person,3,Intermediate,8,46.375,2.495,3E,1,0.826086957,0,0,0.173913043,26.041666666666668
2091,21,Female,Black or African American,,Novice,Neither,0,Novice,6,106,5.198333333,3E,1,0.777777778,0.074074074,0,0.148148148,33.51851851851852
2092,31,Female,Middle Eastern,,Novice,First-person,0,Novice,5,53.2,4.138,3E,0,0.827586207,0,0.034482759,0.137931034,36.51724137931034
2092,31,Female,Middle Eastern,,Novice,Both,0,Novice,5,53.2,4.138,3E,0,0.827586207,0,0.034482759,0.137931034,36.51724137931034
2093,17,Female,Native Hawaiian or Other Pacific Islander,,Expert,Both,2,Expert,9,29.44444444,3.521111111,3E,2,1,0,0,0,13.04
2094,29,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,3,48.66666667,3.076666667,3E,1,0.821428571,0,0,0.178571429,28.166666666666668
2096,21,Female,"White,Other",Spanish Basque,Novice,Neither,0,Novice,4,116,7.765,3E,1,0.875,0,0.05,0.075,23.121951219512194
2098,30,Female,Latino/Latina/Latinx,,Intermediate,First-person,1,Intermediate,5,78.8,3.746,3E,2,0.740740741,0.037037037,0.074074074,0.148148148,28.83333333333333
2099,21,Male,Asian,,Intermediate,Both,0,Novice,10,64.6,3.969,3E,1,0.695652174,0.043478261,0,0.260869565,32.75
2100,20,Female,White,,Novice,First-person,1,Novice,8,48.25,8.59375,3E,3,0.814814815,0,0,0.185185185,27.814814814814813
2101,21,Male,"Middle Eastern,Other",Iranian,Intermediate,Both,0,Novice,12,45.75,4.315,3E,0,0.833333333,0,0.041666667,0.125,29.70833333333333
2109,21,Male,Asian,,Expert,Third-person,2,Novice,5,42,1.928,3E,1,0.708333333,0.083333333,0.041666667,0.166666667,24.45833333333333
2110,20,Female,Asian,,Intermediate,Third-person,5,Novice,7,68.42857143,7.125714286,3E,0,0.833333333,0,0,0.166666667,22.291666666666668
2111,23,Female,Asian,,Novice,Neither,0,Novice,3,35.66666667,6.7,4E,1,0.769230769,0.038461538,0.038461538,0.153846154,42.76923076923077
2113,21,Female,Latino/Latina/Latinx,,Intermediate,First-person,5,Novice,9,55.66666667,4.804444444,2E,1,0.875,0,0,0.125,22.33333333333333
2114,19,Female,Asian,,Novice,Both,0,Intermediate,7,32.28571429,7.671428571,4E,2,0.761904762,0,0,0.238095238,16.5
2115,22,Female,White,,Intermediate,Third-person,1,Novice,7,80.14285714,3.325714286,2E,1,0.777777778,0.037037037,0,0.185185185,32.62068965517241
2117,19,Female,Asian,,Novice,First-person,0,Intermediate,7,33.71428571,4.274285714,1E,0,0.769230769,0.076923077,0,0.153846154,26.03846153846154
2118,19,Female,White,,Expert,Both,2,Expert,9,57.44444444,3.571111111,1E,1,0.814814815,0.037037037,0,0.148148148,19.33333333333333
2130,21,Female,Asian,,Novice,Third-person,2,Novice,4,42,4.615,3E,4,0.75862069,0.068965517,0.034482759,0.137931034,30.33333333333333
2133,18,Female,Latino/Latina/Latinx,,Intermediate,Both,2,Intermediate,5,52,6.366,3E,1,0.805555556,0.027777778,0,0.166666667,16.54054054054054
2135,20,Female,"Latino/Latina/Latinx,White",,Intermediate,First-person,,Expert,7,33.57142857,6.482857143,4E,0,0.555555556,0.037037037,0,0.407407407,26.703703703703702
2136,24,Female,Asian,,Novice,Third-person,1,Novice,10,49.9,5.692,3E,2,0.636363636,0.045454545,0.045454545,0.272727273,23.82608695652174
2137,20,Male,Asian,,Expert,Both,4,Expert,7,42.42857143,5.182857143,4E,5,0.785714286,0.035714286,0,0.178571429,14.166666666666666
2137,20,Male,Asian,,Intermediate,Both,4,Expert,7,42.42857143,5.182857143,4E,5,0.785714286,0.035714286,0,0.178571429,14.166666666666666
2138,19,Male,Asian,,Expert,Both,6,Intermediate,11,34.36363636,5.377272727,4E,0,0.777777778,0,0.148148148,0.074074074,24.071428571428573
2139,22,Female,Latino/Latina/Latinx,,Expert,Both,5,Novice,9,29.66666667,6.29,4E,1,0.833333333,0,0,0.166666667,22.25
2235,21,Female,Asian,,Novice,Both,3,Novice,11,50.72727273,5.385454545,4E,1,0.555555556,0.037037037,0,0.407407407,30.88888888888889
2236,22,Female,Latino/Latina/Latinx,,Novice,First-person,1,Novice,10,46.7,4.41,2E,1,0.777777778,0,0,0.222222222,25.714285714285715
2239,25,Female,Asian,,Expert,Both,5,Intermediate,8,45.875,4.72875,4E,0,0.75,0,0.041666667,0.208333333,15.36
2240,19,Female,Asian,,Novice,Both,4,Intermediate,5,63.6,9.066,4E,0,0.826086957,0,0,0.173913043,20.916666666666668
2241,21,Female,Asian,,Novice,First-person,0,Novice,2,63,8.57,4E,0,0.702702703,0.027027027,0.081081081,0.189189189,30.289473684210527
2243,20,Male,Asian,,Expert,Both,4,Expert,12,40.16666667,3.386666667,1E,0,0.84,0,0.04,0.12,20.28
2244,22,Female,White,,Intermediate,Both,1,Novice,5,43,5.638,3E,1,0.730769231,0.115384615,0,0.153846154,28.62962962962963
2247,21,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,5,40.8,3.046,2E,1,0.76,0,0,0.24,31.53846153846154
2249,18,Male,White,,Expert,Both,3,Intermediate,6,46.33333333,8.198333333,4E,1,0.785714286,0.071428571,0,0.142857143,23.392857142857142
2250,21,Female,Asian,,Intermediate,Both,2,Intermediate,8,35.5,4.06375,4E,3,0.75,0,0,0.25,17.875
2250,21,Female,Asian,,Intermediate,Both,2,Intermediate,8,35.5,4.06375,4E,3,0.75,0,0,0.25,17.875
2300,21,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,3,99.66666667,2.166666667,2E,2,0.6,0.066666667,0.066666667,0.266666667,32.36666666666667
2301,21,Female,White,,Novice,Neither,0,Novice,4,47.75,8.855,3E,2,0.815789474,0.026315789,0.052631579,0.105263158,22.105263157894736
2302,21,Male,Asian,,Intermediate,Third-person,4,Novice,6,41,6.751666667,4E,2,0.875,0,0,0.125,19.08333333333333
2303,19,Female,Asian,,Novice,Neither,0,Novice,3,52.66666667,4.576666667,2E,0,0.857142857,0,0,0.142857143,28.114285714285717
2304,18,Female,Asian,,Expert,Both,3,Expert,12,29.75,5.406666667,1E,7,0.857142857,0,0.035714286,0.107142857,14.689655172413794
2306,21,Female,"Asian,Other",russian,Intermediate,Third-person,7,Novice,8,67.25,3.74,2E,2,0.703703704,0.074074074,0.037037037,0.185185185,40.10714285714285
2308,21,Female,Asian,,Novice,Both,0,Novice,9,145.3333333,2.92,1E,0,0.888888889,0,0,0.111111111,32.535714285714285
2309,20,Female,Asian,,Novice,Both,3,Intermediate,9,44.11111111,4.344444444,2E,1,0.791666667,0,0,0.208333333,15.708333333333334
2311,19,Female,"Asian,White",,Novice,Neither,0,Novice,10,33,7.215,4E,0,0.72,0,0.04,0.24,18.04
2312,20,Female,Latino/Latina/Latinx,,Intermediate,Both,1,Novice,4,69,5.035,2E,3,0.857142857,0.035714286,0,0.107142857,27.655172413793103
2314,20,Female,Asian,,Intermediate,Both,6,Intermediate,2,79.5,5.455,4E,2,0.846153846,0,0.038461538,0.115384615,20.444444444444443
2317,18,Female,Latino/Latina/Latinx,,Novice,Both,2,Novice,7,44.85714286,4.845714286,4E,3,0.860465116,0,0,0.139534884,20.704545454545453
2319,21,Male,Latino/Latina/Latinx,,Intermediate,Both,2,Intermediate,8,38.5,5.3875,4E,0,0.785714286,0.071428571,0.047619048,0.095238095,20.41860465116279
2320,19,Female,Latino/Latina/Latinx,,Intermediate,First-person,1,Novice,5,55.4,3.856,1E,1,0.884615385,0,0,0.115384615,25.615384615384617
2321,23,Male,Latino/Latina/Latinx,,Expert,Both,1,Intermediate,7,46.57142857,5.215714286,4E,0,0.666666667,0.083333333,0.041666667,0.208333333,20.666666666666668
2322,21,Female,White,,Novice,First-person,0,Novice,2,63,2.16,2E,0,0.866666667,0,0.066666667,0.066666667,29.78125
2325,19,Female,Asian,,Intermediate,Both,5,Intermediate,4,74,8.07,1E,1,0.918918919,0.027027027,0.027027027,0.027027027,21.324324324324323
3000,20,Female,"Asian,White",,Novice,Neither,0,Novice,6,70.5,7.26,2E,0,0.769230769,0.076923077,0,0.153846154,37.74074074074074
3000,20,Female,"Asian,White",,Novice,Neither,0,Novice,6,70.5,7.26,2E,0,0.769230769,0.076923077,0,0.153846154,37.74074074074074
3001,23,Female,"Asian,Black or African American,White",,Expert,Both,2,Intermediate,9,31.33333333,3.824444444,2E,1,0.96,0,0,0.04,24.28
3002,21,Male,Asian,,Intermediate,Both,2,Novice,4,40.75,6.9225,1E,1,0.821428571,0.071428571,0.035714286,0.071428571,18.392857142857142
3005,20,Female,Asian,,Novice,Neither,0,Novice,2,46.5,6.98,1E,1,0.8125,0.03125,0.03125,0.125,31.03030303030303
3006,20,Male,Asian,,Expert,Both,3,Intermediate,11,30.45454545,4.278181818,2E,1,0.92,0,0,0.08,10.36
3007,18,Male,Asian,,Intermediate,Both,1,Intermediate,5,61.4,4.928,1E,2,0.909090909,0,0.045454545,0.045454545,19.695652173913043
3008,18,Female,Asian,,Novice,Neither,0,Novice,7,42.42857143,6.294285714,1E,0,0.9,0,0,0.1,22.23333333333333
3011,19,Male,Asian,,Expert,Both,2,Intermediate,10,43.5,6.392,1E,1,0.814814815,0,0,0.185185185,15.62962962962963
3015,21,Male,"Middle Eastern,Other",Iranian ,Intermediate,Both,0,Novice,12,53.91666667,2.246666667,2E,0,0.896551724,0.034482759,0,0.068965517,23.766666666666666
3016,18,Male,Asian,,Expert,Both,4,Intermediate,9,41.66666667,2.606666667,1E,1,0.869565217,0,0,0.130434783,18.043478260869566
3017,18,Female,Latino/Latina/Latinx,,Novice,First-person,3,Novice,2,25.5,5.865,2E,1,0.65625,0,0.09375,0.25,28.666666666666668
3019,22,Female,Asian,,Intermediate,First-person,0,Novice,4,60.5,6.5125,1E,0,0.875,0,0.03125,0.09375,24.75
3020,21,Female,Asian,,Novice,First-person,0,Novice,12,48.08333333,2.815,2E,0,0.714285714,0,0,0.285714286,30.214285714285715
3021,19,Female,White,,Novice,Neither,0,Novice,8,58.75,5.93875,2E,0,0.785714286,0,0,0.214285714,28.724137931034484
3023,20,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,11,45.18181818,3.038181818,2E,2,0.913043478,0.043478261,0,0.043478261,36.130434782608695
3024,20,Female,Asian,,Intermediate,Third-person,4,Novice,5,61.2,3.11,2E,2,0.956521739,0,0,0.043478261,21.03846153846154
3025,21,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,7,69,2.974285714,1E,0,0.892857143,0,0,0.107142857,31.392857142857142
3026,19,Female,Latino/Latina/Latinx,,Novice,Neither,0,Novice,10,73.8,3.733,1E,2,0.761904762,0.095238095,0,0.142857143,38.90476190476191
3031,22,Female,Latino/Latina/Latinx,,Intermediate,Third-person,1,Intermediate,10,45.5,5.174,2E,0,0.923076923,0.038461538,0,0.038461538,17.928571428571427
3033,21,Male,Asian,,Intermediate,Both,0,Intermediate,2,27.5,4.025,1E,1,0.805555556,0.055555556,0.027777778,0.111111111,18.216216216216218
3034,18,Female,Asian,,Novice,Neither,0,Novice,2,49,4.25,1E,2,0.869565217,0,0,0.130434783,16
3035,20,Female,Asian,,Intermediate,First-person,0,Novice,4,27.75,8.855,2E,1,0.777777778,0,0.037037037,0.185185185,36
3039,24,Female,White,,Novice,Both,1,Novice,12,52.91666667,4.731666667,2E,0,0.739130435,0,0,0.260869565,28.33333333333333
3039,24,Female,White,,Novice,Both,0,Novice,12,52.91666667,4.731666667,2E,0,0.739130435,0,0,0.260869565,28.33333333333333
3040,19,Male,Asian,,Novice,Third-person,2,Novice,6,41.66666667,3.63,1E,0,0.916666667,0,0,0.083333333,18.291666666666668
3042,20,Female,White,,Intermediate,Both,0,Intermediate,8,25.75,4.245,1E,2,0.952380952,0,0.047619048,0,13.08695652173913
3043,23,Female,"Asian,Black or African American",,Intermediate,First-person,2,Novice,9,44,3.328888889,2E,2,0.592592593,0,0.037037037,0.37037037,35
3046,19,Female,Middle Eastern,,Novice,Third-person,0,Novice,3,50.66666667,5.546666667,1E,1,0.882352941,0,0.029411765,0.088235294,24.085714285714285
3052,19,Female,Asian,,Novice,Third-person,0,Novice,2,24,5.82,2E,0,0.892857143,0,0.035714286,0.071428571,35.82142857142857
3053,25,Female,Asian,,Novice,Neither,0,Novice,3,36.66666667,6.85,2E,0,0.791666667,0,0.041666667,0.166666667,32.84
3055,20,Male,Asian,,Intermediate,Third-person,1,Novice,10,40.8,3.46,2E,0,0.5,0,0.214285714,0.285714286,46
3056,22,Male,Asian,,Expert,Both,3,Novice,5,42.8,5.72,1E,1,0.757575758,0,0.03030303,0.212121212,26.058823529411764
3059,21,Male,Other,Armenian,Expert,Both,2,Intermediate,7,41.57142857,5.208571429,2E,1,1,0,0,0,18.20833333333333
4006,20,Male,Asian,,Expert,Both,6,Expert,10,42.5,2.955,3E,2,0.72,0.04,0.04,0.2,24.48
4009,21,Female,Asian,,Novice,First-person,5,Novice,6,45.16666667,4.38,1E,1,0.892857143,0,0.035714286,0.071428571,24.892857142857142
4014,20,Female,Asian,,Expert,Both,7,Intermediate,9,45.77777778,5.941111111,4E,1,0.724137931,0,0.103448276,0.172413793,17.724137931034484
4015,19,Male,"Asian,White",,Intermediate,Third-person,0,Intermediate,7,76.28571429,5.904285714,1E,0,0.857142857,0,0.035714286,0.107142857,29.25
4020,20,Female,"Latino/Latina/Latinx,White",,Novice,First-person,0,Novice,4,56.5,5.7175,2E,3,0.851851852,0,0,0.148148148,34.82142857142857
4021,19,Female,Asian,,Novice,Both,0,Novice,8,44.375,5.25125,2E,3,0.782608696,0,0,0.217391304,21.68
4022,19,Female,Asian,,Novice,Neither,0,Novice,1,30,1,2E,0,0.771428571,0,0.028571429,0.2,23.285714285714285
4023,23,Female,Asian,,,,,,10,48.3,4.419,1E,1,0.653846154,0.038461538,0,0.307692308,21.925925925925927
4024,21,Female,Latino/Latina/Latinx,,Expert,Both,4,Intermediate,10,30.8,3.514,2E,1,0.958333333,0,0,0.041666667,13.791666666666666
4025,22,Non-binary,White,,Novice,Third-person,1,Novice,7,58,9.6,1E,1,0.833333333,0,0,0.166666667,39.10526315789474
4026,19,Male,Asian,,Expert,Both,5,Expert,7,44.14285714,3.767142857,1E,5,0.833333333,0,0,0.166666667,15.541666666666666
4029,20,Male,Asian,,Expert,Both,3,Expert,10,46.9,4.092,1E,1,0.869565217,0,0.043478261,0.086956522,15.615384615384617
4030,18,Female,Asian,,Novice,Both,1,Novice,7,51.14285714,4.598571429,1E,2,0.84,0.04,0,0.12,27.88
4032,24,Male,Asian,,Expert,Third-person,2,Intermediate,8,33.5,8.2,3E,3,0.884615385,0,0,0.115384615,19.296296296296298
4036,22,Female,Asian,,Intermediate,First-person,0,Novice,11,40.36363636,5.360909091,1E,1,1,0,0,0,15.212121212121213
4037,22,Male,White,,Expert,Both,2,Expert,12,27.83333333,3.053333333,4E,3,0.761904762,0.047619048,0.015873016,0.174603175,15.921875
4039,19,Male,Asian,,Intermediate,First-person,1,Intermediate,10,61.7,3.31,1E,1,0.852941176,0.029411765,0.058823529,0.058823529,22.457142857142856
4040,20,Male,Asian,,Expert,First-person,1,Intermediate,9,46,9.042222222,1E,1,0.806451613,0,0.032258065,0.161290323,19.12903225806452
4041,52,Female,White,,Expert,Both,5,Novice,7,48.28571429,5.085714286,2E,3,0.702702703,0.054054054,0,0.243243243,29.81578947368421
4042,18,Female,Asian,,Expert,Both,5,Expert,6,20.16666667,3.993333333,4E,2,0.714285714,0,0.035714286,0.25,14.10344827586207
4042,18,Female,Asian,,Expert,Neither,5,Expert,6,20.16666667,3.993333333,4E,2,0.714285714,0,0.035714286,0.25,14.10344827586207
4043,21,Male,White,,Expert,Both,2,Expert,10,29.5,5.947,3E,0,0.857142857,0.035714286,0.035714286,0.071428571,17.96551724137931
5002,18,Female,Asian,,Intermediate,First-person,5,Intermediate,10,37.2,3.887,2E,0,0.75,0.041666667,0,0.208333333,16.88
5004,18,Female,White,,Intermediate,First-person,1,Intermediate,3,37,3.243333333,1E,1,0.6,0.114285714,0.057142857,0.228571429,33.42857142857143
5006,19,Female,Asian,,Novice,Both,0,Intermediate,5,29.8,3.61,2E,2,0.833333333,0,0.041666667,0.125,15.24
5007,20,Male,Asian,,Intermediate,Both,2,Intermediate,7,53,3.052857143,2E,0,0.857142857,0,0.035714286,0.107142857,21.79310344827586
5008,24,Female,Latino/Latina/Latinx,,Intermediate,First-person,1,Novice,6,59.33333333,4.258333333,3E,0,0.941176471,0,0.029411765,0.029411765,30.529411764705884
5009,18,Female,White,,Novice,First-person,0,Intermediate,5,51.8,4.656,3E,1,0.791666667,0,0,0.208333333,33.76
5011,18,Female,Latino/Latina/Latinx,,Novice,Both,0,Novice,8,31,4.785,4E,2,0.88,0,0.12,0,23.392857142857142
5012,25,Non-binary,Asian,,Intermediate,Both,2,Novice,7,95.42857143,4.572857143,3E,0,0.810810811,0.027027027,0.027027027,0.135135135,22.36842105263158
5014,21,Female,Latino/Latina/Latinx,,Novice,Neither,,Novice,5,55.6,5.748,4E,1,0.681818182,0.045454545,0.045454545,0.227272727,39.45454545454545
5016,20,Female,Asian,,Intermediate,Both,1,Intermediate,7,38,7.58,4E,2,0.761904762,0,0,0.238095238,20.863636363636363
5018,27,Transgender,"Middle Eastern,White",,Expert,Both,3,Intermediate,7,50.71428571,7.722857143,3E,1,0.88,0,0,0.12,12.148148148148149
5020,18,Female,White,,Intermediate,Both,1,Intermediate,6,44.83333333,5.918333333,4E,2,0.851851852,0.037037037,0.037037037,0.074074074,14.607142857142858
5025,22,Female,Asian,,Novice,Neither,0,Novice,6,49.66666667,7.486666667,3E,1,0.9,0,0.033333333,0.066666667,28.3
5027,21,Male,Other,Indian/European,Intermediate,Both,1,Expert,10,26.7,3.36,1E,6,0.913043478,0,0.043478261,0.043478261,14.24
5030,22,Male,Asian,,Intermediate,Both,3,Novice,4,52,7.32,2E,0,0.821428571,0.071428571,0.071428571,0.035714286,24.392857142857142
5032,18,Female,Asian,,Novice,First-person,0,Novice,1,51,4.82,4E,1,0.836734694,0,0.040816327,0.12244898,18.040816326530614
5034,19,Female,Asian,,Expert,First-person,1,Expert,7,24.14285714,4.747142857,1E,1,1,0,0,0,10.192307692307692
5037,23,Male,Asian,,Intermediate,Both,2,Novice,6,21.16666667,5.305,1E,3,0.904761905,0.047619048,0,0.047619048,15.91304347826087
5040,21,Male,Latino/Latina/Latinx,,Intermediate,Both,1,Novice,8,39.625,3.495,2E,3,0.827586207,0,0,0.172413793,16.96551724137931
5042,22,Male,Latino/Latina/Latinx,,Expert,Both,2,Expert,7,52.14285714,4.182857143,2E,5,0.821428571,0.071428571,0,0.107142857,17.82758620689655
5043,22,Female,"Asian,Black or African American",,Novice,Both,0,Novice,6,38.16666667,5.168333333,1E,1,0.892857143,0,0.035714286,0.071428571,17.857142857142858
5044,21,Male,Latino/Latina/Latinx,,Expert,First-person,3,Expert,11,33.09090909,3.310909091,2E,4,0.958333333,0,0,0.041666667,11.833333333333334
5046,20,Female,White,,Intermediate,Both,1,Expert,10,31.8,3.264,2E,2,0.583333333,0,0.083333333,0.333333333,18.666666666666668
5047,25,Female,Asian,,Intermediate,Both,1,Intermediate,7,48.42857143,5.162857143,3E,1,0.72,0,0.04,0.24,18.4
5049,19,Female,Asian,,Intermediate,Both,4,Intermediate,8,26.625,3.81875,2E,5,0.72,0.08,0,0.2,13.666666666666666
5050,20,Transgender,Latino/Latina/Latinx,,Intermediate,Both,1,Expert,8,31.75,6.20625,4E,1,0.961538462,0,0,0.038461538,14.407407407407408
5054,21,Female,White,,Novice,Neither,0,Novice,3,43,7.926666667,3E,3,0.866666667,0.066666667,0.033333333,0.033333333,27.7
5055,20,Male,Latino/Latina/Latinx,,Expert,Both,2,Intermediate,10,16.4,3.278,2E,4,0.958333333,0,0,0.041666667,10.25
5057,25,Male,Asian,,Novice,Neither,,Novice,6,76.83333333,6.236666667,2E,2,0.739130435,0.043478261,0,0.217391304,23.043478260869566
5059,20,Male,"Asian,Latino/Latina/Latinx,White",,Expert,Both,6,Intermediate,10,21.5,5.119,2E,5,1,0,0,0,9
5062,21,Non-binary,Asian,,Expert,Both,1,Intermediate,5,32,3.41,2E,1,0.666666667,0.047619048,0,0.285714286,23.217391304347824
5063,18,Female,Black or African American,,Novice,Neither,0,Novice,1,25,8.05,4E,0,0.853658537,0.048780488,0.048780488,0.048780488,23.209302325581397
5064,19,Female,Latino/Latina/Latinx,,Intermediate,Both,0,Novice,10,47.8,5.706,3E,2,0.68,0,0,0.32,26.6
